objectnummer,titel,map_ready_termen,regio
NG-2016-53-31,Paramaribo Onafhankelijksheidsplein 25 november 1975,Paramaribo (stad),suriname
RP-F-F01202-11,"Familiefoto's, onder meer van een gezelschap in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01202-19,"Diverse afbeeldingen, onder meer van een vrouw zittend aan een secretaire in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01202-21,"Portretten, onder meer van moeders met kinderen",Suriname (Zuid-Amerika),suriname
RP-F-F01204-20,Gezelschappen en portretten,Suriname (Zuid-Amerika),suriname
RP-F-F01204-43,Gezelschappen,Suriname (Zuid-Amerika),suriname
RP-F-F01204-46,Gezelschappen,Suriname (Zuid-Amerika),suriname
NG-2011-18-22-1,Goudzoekende man met een vijzel te Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-22-2,Gouddelver met een brandslang te Suriname,Suriname (Zuid-Amerika),suriname
RP-P-2017-1640,Omslag met tekstbladen over Suriname en de Nederlandse Antillen,Suriname (Zuid-Amerika),suriname
RP-P-2017-1641,Omslag met lithografieën van Suriname en de Nederlandse Antillen,Suriname (Zuid-Amerika),suriname
RP-P-2017-1652,Deel van de rand van een kaart van Suriname,Suriname (Zuid-Amerika),suriname
RP-P-2017-1652-1,Deel van de rand van een kaart van Suriname (linkerdeel),Suriname (Zuid-Amerika),suriname
RP-P-2017-1652-2,Deel van de rand van een kaart van Suriname (rechterdeel),Suriname (Zuid-Amerika),suriname
RP-P-2017-1653,Deel van een kaart van Suriname,Suriname (Zuid-Amerika),suriname
RP-P-2017-1654,Deel van een kaart van Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-1,Gezicht op een fabriek in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-2,Gezicht op een vluchtelingenkamp bij Paramaribo,Paramaribo (stad),suriname
NG-2011-18-28-4,Jongen op een bank voor een huis in Suriname,Suriname (Zuid-Amerika),suriname
NG-2011-18-28-6,Drie kinderen in de opening van een steeg tussen huizen in Paramaribo,Paramaribo (stad),suriname
