recordnummer;term;match_wiki;Qids;broader_term;wikidata;PID_overige.URI;PID_overige.URI2;PID_overige.URI3;wiki_id;wiki_id_broader;wiki_id_query;coords
94399;Plantage Cornelis Vriendschap;Cornelis Vriendschap;http://www.wikidata.org/entity/Q59115409;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59115409;;;;Q59115409;;wd:Q59115409;Point(-54.969560955 5.797857718)
562924;Plantage Dordrecht;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q1827726;http://www.wikidata.org/entity/Q1827726;;;Q1827726;;wd:Q1827726;Point(-55.096136 5.826164)
98916;Plantage Elisabethshoop;Elisabeth's Hoop (Commewijne);http://www.wikidata.org/entity/Q2439396;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q2439396;;;;Q2439396;;wd:Q2439396;Point(-55.03738 5.89114)
103865;Plantage Geyersvlijt;Geyersvlijt;http://www.wikidata.org/entity/Q4392658;Paramaribo (stad);http://www.wikidata.org/entity/Q4392658;;;;Q4392658;;wd:Q4392658;Point(-55.121667 5.851389)
105861;Plantage Groot-Chatillon;Groot Chatillon;http://www.wikidata.org/entity/Q59115652;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59115652;;;;Q59115652;;wd:Q59115652;Point(-55.068836956 5.620432481)
103878;Plantage Jagtlust;Jagtlust;http://www.wikidata.org/entity/Q2121376;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q2121376;;;;Q2121376;;wd:Q2121376;Point(-55.096136 5.826164)
102602;Plantage Johanna-Catharina;Johanna Catharina;http://www.wikidata.org/entity/Q59115735;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59115735;;;;Q59115735;;wd:Q59115735;Point(-55.473703912 5.857946759)
569043;Plantage Kroonenburg;Kroonenburg;http://www.wikidata.org/entity/Q2183731;Commewijne;http://www.wikidata.org/entity/Q2183731;;;;Q2183731;;wd:Q2183731;Point(-55.0136 5.8653)
119582;Plantage La Liberté;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59116872;http://www.wikidata.org/entity/Q59116872;;;Q59116872;;wd:Q59116872;Point(-55.205746299 5.505334872)
61074;Plantage Leasowes;Leasowes;http://www.wikidata.org/entity/Q59116940;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59116940;;;;Q59116940;;wd:Q59116940;Point(-56.385277777 5.896666666)
103271;Plantage Ma Retraite;Ma Retraite (Boomskreek);http://www.wikidata.org/entity/Q59117017;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59117017;;;;Q59117017;;wd:Q59117017;Point(-55.143914311 5.848222141)
105858;Plantage Maasstroom;Maasstroom;http://www.wikidata.org/entity/Q2055473;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q2055473;;;;Q2055473;;wd:Q2055473;Point(-55.04395 5.89654)
105860;Plantage Mariënbosch;Mariënbosch;http://www.wikidata.org/entity/Q2042290;Commewijne;http://www.wikidata.org/entity/Q2042290;;;;Q2042290;;wd:Q2042290;Point(-55.018857157 5.880628678)
105859;Plantage Mariënburg;Mariënburg;http://www.wikidata.org/entity/Q908006;Commewijne;http://www.wikidata.org/entity/Q908006;;;;Q908006;;wd:Q908006;Point(-55.048055555 5.873611111)
548735;Plantage Meerzorg;Meerzorg;http://www.wikidata.org/entity/Q1018882;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q1018882;;;;Q1018882;;wd:Q1018882;Point(-55.146944444 5.807222222)
105917;Plantage Morgenstond;De Morgenstond;http://www.wikidata.org/entity/Q59115470;Paramaribo (district);http://www.wikidata.org/entity/Q59115470;;;;Q59115470;;wd:Q59115470;Point(-55.119505754 5.859776675)
105916;Plantage Nijd en Spijt;Nijd en Spijt (Commewijne);http://www.wikidata.org/entity/Q59132916;Commewijne;http://www.wikidata.org/entity/Q59132916;;;;Q59132916;;wd:Q59132916;Point(-55.015767453 5.838410116)
573493;Plantage Palmeneribo;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59133036;http://www.wikidata.org/entity/Q59133036;;;Q59133036;;wd:Q59133036;Point(-54.996080059 5.482747479)
103532;Plantage Paradise;Paradise;http://www.wikidata.org/entity/Q21000089;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q21000089;;;;Q21000089;;wd:Q21000089;Point(-56.939588814 5.906509819)
103531;Plantage Peperpot;Peperpot;http://www.wikidata.org/entity/Q12013270;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q12013270;;;;Q12013270;;wd:Q12013270;Point(-55.1246167 5.768092)
569042;Plantage Rosenburg;Roozenburg;http://www.wikidata.org/entity/Q59133171;Commewijne;http://www.wikidata.org/entity/Q59133171;;;;Q59133171;;wd:Q59133171;Point(-54.775497373 5.810793729)
102454;Plantage Rust en Werk;Rust en Werk;http://www.wikidata.org/entity/Q1880614;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q1880614;;;;Q1880614;;wd:Q1880614;Point(-55.066188 5.906132)
573492;Plantage Surimombo;;;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59133905;http://www.wikidata.org/entity/Q59133905;;;Q59133905;;wd:Q59133905;Point(-54.985934863 5.452132102)
105923;Plantage Suzanna's Daal;Suzanna's Daal;http://www.wikidata.org/entity/Q15882536;Commewijne;http://www.wikidata.org/entity/Q15882536;;;;Q15882536;;wd:Q15882536;Point(-55.0877 5.8614)
556547;Plantage 't Vertrouwen;'t Vertrouwen;http://www.wikidata.org/entity/Q13427514;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q13427514;;;;Q13427514;;wd:Q13427514;Point(-54.972483357 5.896031313)
103272;Plantage Tourtonne;La Tourtonne;http://www.wikidata.org/entity/Q59116910;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59116910;;;;Q59116910;;wd:Q59116910;Point(-55.149974367 5.850566558)
569047;Plantage Voorburg;Voorburg;http://www.wikidata.org/entity/Q15883580;Suriname (district);http://www.wikidata.org/entity/Q15883580;;;;Q15883580;;wd:Q15883580;Point(-55.0896 5.878)
103533;Plantage Waterloo;Waterloo (Nickerie);http://www.wikidata.org/entity/Q124832148;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q124832148;;;;Q124832148;;wd:Q124832148;Point(-56.972878306 5.914768863)
561428;Plantage Wolfenbuttel;Wolffenbuttel;http://www.wikidata.org/entity/Q59134147;Suriname (Zuid-Amerika);http://www.wikidata.org/entity/Q59134147;;;;Q59134147;;wd:Q59134147;Point(-55.159519444 5.847275)
