

recordnummer,objectnummer,PID_overige.URI,wikidata_url,wikimedia_url
241241,RP-F-1994-12-40,http://hdl.handle.net/10934/RM0001.COLLECT.241241,,"https://commons.wikimedia.org/wiki/File:Portret_van_Kojo-A-Slen-Gri,_en_face_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-40.jpg"
241242,RP-F-1994-12-41,http://hdl.handle.net/10934/RM0001.COLLECT.241242,,"https://commons.wikimedia.org/wiki/File:Portret_van_Kojo-A-Slen-Gri,_en_profil_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-41.jpg"
241243,RP-F-1994-12-42,http://hdl.handle.net/10934/RM0001.COLLECT.241243,,"https://commons.wikimedia.org/wiki/File:Portret_van_Johannes_Kojo,_en_face_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-42.jpg"
241245,RP-F-1994-12-43,http://hdl.handle.net/10934/RM0001.COLLECT.241245,,"https://commons.wikimedia.org/wiki/File:Portret_van_Johannes_Kojo,_en_profil_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-43.jpg"
241246,RP-F-1994-12-44,http://hdl.handle.net/10934/RM0001.COLLECT.241246,,"https://commons.wikimedia.org/wiki/File:Marronwoning_op_de_Koloniale_tentoonstelling,_Amsterdam_1883_Hutte_des_Nègres_des_Bois_(titel_op_object)_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-44.jpg"
241247,RP-F-1994-12-45,http://hdl.handle.net/10934/RM0001.COLLECT.241247,,"https://commons.wikimedia.org/wiki/File:Marronkano_op_de_Koloniale_tentoonstelling,_Amsterdam_1883_Canot_des_Nègres_des_Bois_(titel_op_object)_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-45.jpg"
241248,RP-F-1994-12-46,http://hdl.handle.net/10934/RM0001.COLLECT.241248,,"https://commons.wikimedia.org/wiki/File:Groepsportret_van_Creoolse_vrouwen_op_de_Koloniale_tentoonstelling,_Amsterdam_1883_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-46.jpg"
241249,RP-F-1994-12-47,http://hdl.handle.net/10934/RM0001.COLLECT.241249,,"https://commons.wikimedia.org/wiki/File:Portret_van_Jacqueline_Ricket,_en_face_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-47.jpg"
241250,RP-F-1994-12-48,http://hdl.handle.net/10934/RM0001.COLLECT.241250,,"https://commons.wikimedia.org/wiki/File:Portret_van_Jacqueline_Ricket,_en_profil_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-48.jpg"
241251,RP-F-1994-12-49,http://hdl.handle.net/10934/RM0001.COLLECT.241251,,"https://commons.wikimedia.org/wiki/File:Portret_van_Jacqueline_Ricket,_bijna_driekwart_Les_Habitants_de_Suriname._Notes_Recueillies_à_l'Exposition_Coloniale_d'Amsterdam_en_1883_(serietitel),_RP-F-1994-12-49.jpg"
